file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/net/util/TrustManagerUtils.java,52,NullifyInputVariable,"public void checkServerTrusted(final X509Certificate[] certificates, final String authType) throws CertificateException {","public void checkServerTrusted(final X509Certificate[] certificates, final String authType) throws CertificateException { authType = null;",2,reduced_nullify_final_param_non_compilable
org/apache/commons/net/smtp/SMTP.java,338,NullifyInputVariable,public int mail(final String reversePath) throws IOException {,public int mail(final String reversePath) throws IOException { reversePath = null;,22,reduced_nullify_final_param_non_compilable
org/apache/commons/net/examples/mail/IMAPImportMbox.java,189,NullifyInputVariable,"private static boolean startsWith(final String input, final Pattern pat) {","private static boolean startsWith(final String input, final Pattern pat) { input = null;",20,reduced_nullify_final_param_non_compilable
org/apache/commons/net/nntp/SimpleNNTPHeader.java,77,NullifyInputVariable,"public void addHeaderField(final String headerField, final String value) {","public void addHeaderField(final String headerField, final String value) { value = null;",2,reduced_nullify_final_param_non_compilable
org/apache/commons/net/tftp/TFTPPacket.java,83,NullifyInputVariable,public static final TFTPPacket newTFTPPacket(final DatagramPacket datagram) throws TFTPPacketException {,public static final TFTPPacket newTFTPPacket(final DatagramPacket datagram) throws TFTPPacketException { datagram = null;,4,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPListParseEngine.java,270,NullifyInputVariable,"public void readServerList(final InputStream inputStream, final String charsetName) throws IOException {","public void readServerList(final InputStream inputStream, final String charsetName) throws IOException { inputStream = null;",12,reduced_nullify_final_param_non_compilable
org/apache/commons/net/DatagramSocketClient.java,222,NullifyInputVariable,"public void open(final int port, final InetAddress localAddress) throws SocketException {","public void open(final int port, final InetAddress localAddress) throws SocketException { localAddress = null;",7,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPClient.java,2954,NullifyInputVariable,public void setCopyStreamListener(final CopyStreamListener listener) {,public void setCopyStreamListener(final CopyStreamListener listener) { listener = null;,114,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPSClient.java,590,RemoveMethod,public String[] getEnabledProtocols() {,public String[] getEnabledProtocols() {,139,reduced_remove_method_other
org/apache/commons/net/ftp/parser/DefaultFTPFileEntryParserFactory.java,104,NullifyInputVariable,"private FTPFileEntryParser createFileEntryParser(final String key, final FTPClientConfig config) {","private FTPFileEntryParser createFileEntryParser(final String key, final FTPClientConfig config) { key = null;",17,reduced_nullify_final_param_non_compilable
org/apache/commons/net/nntp/NewGroupsOrNewsQuery.java,245,NullifyInputVariable,public void omitNewsgroup(final String newsgroup) {,public void omitNewsgroup(final String newsgroup) { newsgroup = null;,5,reduced_nullify_final_param_non_compilable
org/apache/commons/net/telnet/TelnetClient.java,270,NullifyInputVariable,public void registerNotifHandler(final TelnetNotificationHandler notifhand) {,public void registerNotifHandler(final TelnetNotificationHandler notifhand) { notifhand = null;,10,reduced_nullify_final_param_non_compilable
org/apache/commons/net/tftp/TFTPDataPacket.java,172,NullifyInputVariable,"DatagramPacket newDatagram(final DatagramPacket datagram, final byte[] data) {","DatagramPacket newDatagram(final DatagramPacket datagram, final byte[] data) { datagram = null;",10,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTP.java,1240,NullifyInputVariable,"public int sendCommand(final String command, final String args) throws IOException {","public int sendCommand(final String command, final String args) throws IOException { command = null;",30,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPHTTPClient.java,123,NullifyInputVariable,"protected Socket _openDataConnection_(final String command, final String arg) throws IOException {","protected Socket _openDataConnection_(final String command, final String arg) throws IOException { arg = null;",20,reduced_nullify_final_param_non_compilable
org/apache/commons/net/imap/IMAPReply.java,129,NullifyInputVariable,public static int getUntaggedReplyCode(final String line) throws IOException {,public static int getUntaggedReplyCode(final String line) throws IOException { line = null;,4,reduced_nullify_final_param_non_compilable
org/apache/commons/net/util/Base64.java,154,RemoveMethod,public static byte[] encodeBase64(final byte[] source) {,public static byte[] encodeBase64(final byte[] source) {,103,reduced_remove_method_other
org/apache/commons/net/ftp/FTPClientConfig.java,535,NullifyInputVariable,public void setRecentDateFormatStr(final String recentDateFormatStr) {,public void setRecentDateFormatStr(final String recentDateFormatStr) { recentDateFormatStr = null;,5,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPClient.java,3276,NullifyInputVariable,"public boolean storeFile(final String remote, final InputStream local) throws IOException {","public boolean storeFile(final String remote, final InputStream local) throws IOException { local = null;",101,reduced_nullify_final_param_non_compilable
org/apache/commons/net/SocketClient.java,129,NullifyInputVariable,"private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException {","private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException { remoteInetSocketAddress = null;",30,reduced_nullify_final_param_non_compilable
org/apache/commons/net/smtp/SMTPClient.java,418,NullifyInputVariable,public boolean setSender(final String address) throws IOException {,public boolean setSender(final String address) throws IOException { address = null;,10,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/parser/MVSFTPEntryParser.java,449,NullifyInputVariable,public List<String> preParse(final List<String> orig) {,public List<String> preParse(final List<String> orig) { orig = null;,13,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/FTPClient.java,2413,NullifyInputVariable,"public boolean login(final String user, final String password, final String account) throws IOException {","public boolean login(final String user, final String password, final String account) throws IOException { account = null;",138,reduced_nullify_final_param_non_compilable
org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,103,NullifyInputVariable,public FTPFile parseFTPEntry(final String entry) {,public FTPFile parseFTPEntry(final String entry) { entry = null;,14,reduced_nullify_final_param_non_compilable
