file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/net/DatagramSocketClient.java,283,NullifyInputVariable,public void setSoTimeout(final Duration timeout) throws SocketException {,public void setSoTimeout(final Duration timeout) throws SocketException { timeout = null;,3,
org/apache/commons/net/DatagramSocketClient.java,259,NullifyInputVariable,public void setDefaultTimeout(final Duration timeout) {,public void setDefaultTimeout(final Duration timeout) { timeout = null;,4,
org/apache/commons/net/DatagramSocketClient.java,244,NullifyInputVariable,public void setDatagramSocketFactory(final DatagramSocketFactory factory) {,public void setDatagramSocketFactory(final DatagramSocketFactory factory) { factory = null;,5,
org/apache/commons/net/DatagramSocketClient.java,234,NullifyInputVariable,public void setCharset(final Charset charset) {,public void setCharset(final Charset charset) { charset = null;,6,
org/apache/commons/net/DatagramSocketClient.java,222,NullifyInputVariable,"public void open(final int port, final InetAddress localAddress) throws SocketException {","public void open(final int port, final InetAddress localAddress) throws SocketException { localAddress = null;",7,
org/apache/commons/net/DefaultDatagramSocketFactory.java,67,NullifyInputVariable,"public DatagramSocket createDatagramSocket(final int port, final InetAddress localAddress) throws SocketException {","public DatagramSocket createDatagramSocket(final int port, final InetAddress localAddress) throws SocketException { localAddress = null;",1,
org/apache/commons/net/DefaultSocketFactory.java,143,NullifyInputVariable,"public Socket createSocket(final InetAddress address, final int port, final InetAddress localAddr, final int localPort) throws IOException {","public Socket createSocket(final InetAddress address, final int port, final InetAddress localAddr, final int localPort) throws IOException { address = null;",10,
org/apache/commons/net/DefaultSocketFactory.java,123,NullifyInputVariable,"public Socket createSocket(final InetAddress address, final int port) throws IOException {","public Socket createSocket(final InetAddress address, final int port) throws IOException { address = null;",11,
org/apache/commons/net/DefaultSocketFactory.java,95,NullifyInputVariable,"public ServerSocket createServerSocket(final int port, final int backlog, final InetAddress bindAddr) throws IOException {","public ServerSocket createServerSocket(final int port, final int backlog, final InetAddress bindAddr) throws IOException { bindAddr = null;",12,
org/apache/commons/net/DefaultSocketFactory.java,184,NullifyInputVariable,"public Socket createSocket(final String host, final int port, final InetAddress localAddr, final int localPort) throws UnknownHostException, IOException {","public Socket createSocket(final String host, final int port, final InetAddress localAddr, final int localPort) throws UnknownHostException, IOException { localAddr = null;",6,
org/apache/commons/net/DefaultSocketFactory.java,184,NullifyInputVariable,"public Socket createSocket(final String host, final int port, final InetAddress localAddr, final int localPort) throws UnknownHostException, IOException {","public Socket createSocket(final String host, final int port, final InetAddress localAddr, final int localPort) throws UnknownHostException, IOException { host = null;",7,
org/apache/commons/net/DefaultSocketFactory.java,163,NullifyInputVariable,"public Socket createSocket(final String host, final int port) throws UnknownHostException, IOException {","public Socket createSocket(final String host, final int port) throws UnknownHostException, IOException { host = null;",8,
org/apache/commons/net/DefaultSocketFactory.java,143,NullifyInputVariable,"public Socket createSocket(final InetAddress address, final int port, final InetAddress localAddr, final int localPort) throws IOException {","public Socket createSocket(final InetAddress address, final int port, final InetAddress localAddr, final int localPort) throws IOException { localAddr = null;",9,
org/apache/commons/net/PrintCommandListener.java,148,RelationalOperatorReplacement,if (pos > 0) {,if (pos <= 0) {,11,
org/apache/commons/net/PrintCommandListener.java,186,NullifyInputVariable,public void protocolReplyReceived(final ProtocolCommandEvent event) {,public void protocolReplyReceived(final ProtocolCommandEvent event) { event = null;,3,
org/apache/commons/net/PrintCommandListener.java,159,NullifyInputVariable,public void protocolCommandSent(final ProtocolCommandEvent event) {,public void protocolCommandSent(final ProtocolCommandEvent event) { event = null;,4,
org/apache/commons/net/PrintCommandListener.java,143,NullifyInputVariable,private String getPrintableString(final String msg) {,private String getPrintableString(final String msg) { msg = null;,5,
org/apache/commons/net/ProtocolCommandSupport.java,122,NullifyInputVariable,private void writeObject(final ObjectOutputStream out) {,private void writeObject(final ObjectOutputStream out) { out = null;,1,
org/apache/commons/net/ProtocolCommandSupport.java,118,NullifyInputVariable,public void removeProtocolCommandListener(final ProtocolCommandListener listener) {,public void removeProtocolCommandListener(final ProtocolCommandListener listener) { listener = null;,2,
org/apache/commons/net/ProtocolCommandSupport.java,105,NullifyInputVariable,private void readObject(final ObjectInputStream in) {,private void readObject(final ObjectInputStream in) { in = null;,3,
org/apache/commons/net/ProtocolCommandSupport.java,87,NullifyInputVariable,"public void fireReplyReceived(final int replyCode, final String message) {","public void fireReplyReceived(final int replyCode, final String message) { message = null;",4,
org/apache/commons/net/ProtocolCommandSupport.java,68,NullifyInputVariable,"public void fireCommandSent(final String command, final String message) {","public void fireCommandSent(final String command, final String message) { message = null;",5,
org/apache/commons/net/ProtocolCommandSupport.java,68,NullifyInputVariable,"public void fireCommandSent(final String command, final String message) {","public void fireCommandSent(final String command, final String message) { command = null;",6,
org/apache/commons/net/ProtocolCommandSupport.java,57,NullifyInputVariable,public void addProtocolCommandListener(final ProtocolCommandListener listener) {,public void addProtocolCommandListener(final ProtocolCommandListener listener) { listener = null;,7,
org/apache/commons/net/SocketClient.java,734,NullifyInputVariable,public void setSocketFactory(final SocketFactory factory) {,public void setSocketFactory(final SocketFactory factory) { factory = null;,10,
org/apache/commons/net/SocketClient.java,720,NullifyInputVariable,public void setServerSocketFactory(final ServerSocketFactory factory) {,public void setServerSocketFactory(final ServerSocketFactory factory) { factory = null;,11,
org/apache/commons/net/SocketClient.java,356,RelationalOperatorReplacement,if (getCommandSupport().getListenerCount() > 0) {,if (getCommandSupport().getListenerCount() <= 0) {,117,
org/apache/commons/net/SocketClient.java,343,RelationalOperatorReplacement,if (getCommandSupport().getListenerCount() > 0) {,if (getCommandSupport().getListenerCount() <= 0) {,118,
org/apache/commons/net/SocketClient.java,684,NullifyInputVariable,public void setProxy(final Proxy proxy) {,public void setProxy(final Proxy proxy) { proxy = null;,12,
org/apache/commons/net/SocketClient.java,629,NullifyInputVariable,public void setCharset(final Charset charset) {,public void setCharset(final Charset charset) { charset = null;,13,
org/apache/commons/net/SocketClient.java,619,NullifyInputVariable,public void removeProtocolCommandListener(final ProtocolCommandListener listener) {,public void removeProtocolCommandListener(final ProtocolCommandListener listener) { listener = null;,14,
org/apache/commons/net/SocketClient.java,355,NullifyInputVariable,"protected void fireReplyReceived(final int replyCode, final String reply) {","protected void fireReplyReceived(final int replyCode, final String reply) { reply = null;",15,
org/apache/commons/net/SocketClient.java,342,NullifyInputVariable,"protected void fireCommandSent(final String command, final String message) {","protected void fireCommandSent(final String command, final String message) { message = null;",16,
org/apache/commons/net/SocketClient.java,342,NullifyInputVariable,"protected void fireCommandSent(final String command, final String message) {","protected void fireCommandSent(final String command, final String message) { command = null;",17,
org/apache/commons/net/SocketClient.java,306,NullifyInputVariable,"public void connect(final String hostname, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException {","public void connect(final String hostname, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException { localAddr = null;",18,
org/apache/commons/net/SocketClient.java,306,NullifyInputVariable,"public void connect(final String hostname, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException {","public void connect(final String hostname, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException { hostname = null;",19,
org/apache/commons/net/SocketClient.java,289,NullifyInputVariable,"public void connect(final String hostname, final int port) throws SocketException, IOException {","public void connect(final String hostname, final int port) throws SocketException, IOException { hostname = null;",20,
org/apache/commons/net/SocketClient.java,274,NullifyInputVariable,"public void connect(final String hostname) throws SocketException, IOException {","public void connect(final String hostname) throws SocketException, IOException { hostname = null;",21,
org/apache/commons/net/SocketClient.java,259,NullifyInputVariable,"public void connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException {","public void connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException { localAddr = null;",22,
org/apache/commons/net/SocketClient.java,259,NullifyInputVariable,"public void connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException {","public void connect(final InetAddress host, final int port, final InetAddress localAddr, final int localPort) throws SocketException, IOException { host = null;",23,
org/apache/commons/net/SocketClient.java,242,NullifyInputVariable,"public void connect(final InetAddress host, final int port) throws SocketException, IOException {","public void connect(final InetAddress host, final int port) throws SocketException, IOException { host = null;",24,
org/apache/commons/net/SocketClient.java,227,NullifyInputVariable,"public void connect(final InetAddress host) throws SocketException, IOException {","public void connect(final InetAddress host) throws SocketException, IOException { host = null;",25,
org/apache/commons/net/SocketClient.java,208,NullifyInputVariable,private void closeQuietly(final Socket socket) {,private void closeQuietly(final Socket socket) { socket = null;,26,
org/apache/commons/net/SocketClient.java,198,NullifyInputVariable,private void closeQuietly(final Closeable close) {,private void closeQuietly(final Closeable close) { close = null;,27,
org/apache/commons/net/SocketClient.java,170,NullifyInputVariable,public void addProtocolCommandListener(final ProtocolCommandListener listener) {,public void addProtocolCommandListener(final ProtocolCommandListener listener) { listener = null;,28,
org/apache/commons/net/SocketClient.java,129,NullifyInputVariable,"private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException {","private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException { localAddr = null;",29,
org/apache/commons/net/SocketClient.java,129,NullifyInputVariable,"private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException {","private void _connect(final InetSocketAddress remoteInetSocketAddress, final InetAddress localAddr, final int localPort) throws IOException { remoteInetSocketAddress = null;",30,
org/apache/commons/net/SocketClient.java,786,NullifyInputVariable,public boolean verifyRemote(final Socket socket) {,public boolean verifyRemote(final Socket socket) { socket = null;,9,
org/apache/commons/net/bsd/RCommandClient.java,257,NullifyInputVariable,"public void rcommand(final String localUser, final String remoteUser, final String command) throws IOException {","public void rcommand(final String localUser, final String remoteUser, final String command) throws IOException { localUser = null;",10,
org/apache/commons/net/bsd/RCommandClient.java,210,NullifyInputVariable,"throws SocketException, IOException, IllegalArgumentException, UnknownHostException {","throws SocketException, IOException, IllegalArgumentException, UnknownHostException { localAddr = null;",11,
org/apache/commons/net/bsd/RCommandClient.java,210,NullifyInputVariable,"throws SocketException, IOException, IllegalArgumentException, UnknownHostException {","throws SocketException, IOException, IllegalArgumentException, UnknownHostException { hostname = null;",12,
org/apache/commons/net/bsd/RCommandClient.java,189,NullifyInputVariable,"public void connect(final String hostname, final int port, final InetAddress localAddr) throws SocketException, IOException {","public void connect(final String hostname, final int port, final InetAddress localAddr) throws SocketException, IOException { localAddr = null;",13,
org/apache/commons/net/bsd/RCommandClient.java,189,NullifyInputVariable,"public void connect(final String hostname, final int port, final InetAddress localAddr) throws SocketException, IOException {","public void connect(final String hostname, final int port, final InetAddress localAddr) throws SocketException, IOException { hostname = null;",14,
org/apache/commons/net/bsd/RCommandClient.java,172,NullifyInputVariable,"public void connect(final String hostname, final int port) throws SocketException, IOException, UnknownHostException {","public void connect(final String hostname, final int port) throws SocketException, IOException, UnknownHostException { hostname = null;",15,
