file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/cli/CommandLine.java,767,RelationalOperatorReplacement,if (i + 1 < values.size()) {,if (i + 1 <= values.size()) {,100,
org/apache/commons/cli/CommandLine.java,766,RelationalOperatorReplacement,for (int i = 0; i < values.size(); i += 2) {,for (int i = 0; i <= values.size(); i += 2) {,99,
org/apache/commons/cli/DefaultParser.java,294,RelationalOperatorReplacement,for (i = t.length() - 2; i > 1; i--) {,for (i = t.length() - 2; i >= 1; i--) {,275,
org/apache/commons/cli/DefaultParser.java,342,RelationalOperatorReplacement,for (int i = 1; i < token.length(); i++) {,for (int i = 1; i <= token.length(); i++) {,276,
org/apache/commons/cli/DefaultParser.java,345,RelationalOperatorReplacement,handleUnknownToken(stopAtNonOption && i > 1 ? token.substring(i) : token);,handleUnknownToken(stopAtNonOption && i >= 1 ? token.substring(i) : token);,277,
org/apache/commons/cli/DefaultParser.java,386,RelationalOperatorReplacement,} else if (matchingOpts.size() > 1 && !options.hasLongOption(opt)) {,} else if (matchingOpts.size() >= 1 && !options.hasLongOption(opt)) {,281,
org/apache/commons/cli/DefaultParser.java,412,RelationalOperatorReplacement,} else if (matchingOpts.size() > 1 && !options.hasLongOption(token)) {,} else if (matchingOpts.size() >= 1 && !options.hasLongOption(token)) {,282,
org/apache/commons/cli/DefaultParser.java,573,RelationalOperatorReplacement,"if (token.startsWith(""-"") && token.length() > 1 && !stopAtNonOption) {","if (token.startsWith(""-"") && token.length() >= 1 && !stopAtNonOption) {",294,
org/apache/commons/cli/DefaultParser.java,597,RelationalOperatorReplacement,return option != null && (option.getArgs() >= 2 || option.getArgs() == Option.UNLIMITED_VALUES);,return option != null && (option.getArgs() > 2 || option.getArgs() == Option.UNLIMITED_VALUES);,296,
org/apache/commons/cli/GnuParser.java,49,RelationalOperatorReplacement,for (int i = 0; i < arguments.length; i++) {,for (int i = 0; i <= arguments.length; i++) {,409,
org/apache/commons/cli/GnuParser.java,81,RelationalOperatorReplacement,for (i++; i < arguments.length; i++) { // NOPMD,for (i++; i <= arguments.length; i++) { // NOPMD,412,
org/apache/commons/cli/HelpFormatter.java,458,RelationalOperatorReplacement,if (optBuf.length() < max) {,if (optBuf.length() <= max) {,523,
org/apache/commons/cli/HelpFormatter.java,500,RelationalOperatorReplacement,if (nextLineTabStopPos >= width) {,if (nextLineTabStopPos > width) {,528,
org/apache/commons/cli/HelpFormatter.java,513,RelationalOperatorReplacement,if (render.length() > width && pos == nextLineTabStopPos - 1) {,if (render.length() >= width && pos == nextLineTabStopPos - 1) {,530,
org/apache/commons/cli/HelpFormatter.java,536,RelationalOperatorReplacement,return len < minLen ? minLen : len;,return len <= minLen ? minLen : len;,533,
