file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/core/Base64Variant.java,835,RelationalOperatorReplacement,if (ch <= INT_SPACE) {,if (ch > INT_SPACE) {,252,
com/fasterxml/jackson/core/Base64Variant.java,772,RelationalOperatorReplacement,if (bits < 0) {,if (bits >= 0) {,261,
com/fasterxml/jackson/core/Base64Variant.java,761,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr < len) {,262,
com/fasterxml/jackson/core/Base64Variant.java,746,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr < len) {,263,
com/fasterxml/jackson/core/Base64Variant.java,738,RelationalOperatorReplacement,if (bits < 0) {,if (bits >= 0) {,265,
com/fasterxml/jackson/core/Base64Variant.java,725,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr < len) {,266,
com/fasterxml/jackson/core/Base64Variant.java,720,RelationalOperatorReplacement,if (bits < 0) {,if (bits >= 0) {,267,
com/fasterxml/jackson/core/Base64Variant.java,715,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr < len) {,268,
com/fasterxml/jackson/core/Base64Variant.java,710,RelationalOperatorReplacement,if (bits < 0) {,if (bits >= 0) {,269,
com/fasterxml/jackson/core/Base64Variant.java,708,RelationalOperatorReplacement,} while (ch <= INT_SPACE);,} while (ch > INT_SPACE);,270,
com/fasterxml/jackson/core/Base64Variant.java,704,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr < len) {,271,
com/fasterxml/jackson/core/Base64Variant.java,644,RelationalOperatorReplacement,if (inputLeft > 0) {,if (inputLeft <= 0) {,273,
com/fasterxml/jackson/core/Base64Variant.java,638,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF > 0) {,274,
com/fasterxml/jackson/core/Base64Variant.java,633,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr > safeInputEnd) {,275,
com/fasterxml/jackson/core/Base64Variant.java,593,RelationalOperatorReplacement,"if (inputLeft > 0) { // yes, but do we have room for output?","if (inputLeft <= 0) { // yes, but do we have room for output?",277,
com/fasterxml/jackson/core/Base64Variant.java,583,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF > 0) {,278,
com/fasterxml/jackson/core/Base64Variant.java,577,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr > safeInputEnd) {,279,
com/fasterxml/jackson/core/Base64Variant.java,384,RelationalOperatorReplacement,if (ch < 0) {,if (ch >= 0) {,286,
com/fasterxml/jackson/core/Base64Variant.java,377,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch > 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,287,
com/fasterxml/jackson/core/Base64Variant.java,372,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch > 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,288,
com/fasterxml/jackson/core/Base64Variant.java,164,RelationalOperatorReplacement,for (int i = 0; i < alphaLen; ++i) {,for (int i = 0; i >= alphaLen; ++i) {,299,
com/fasterxml/jackson/core/ErrorReportConfiguration.java,205,RelationalOperatorReplacement,if (maxRawContentLength < 0) {,if (maxRawContentLength >= 0) {,29,
com/fasterxml/jackson/core/ErrorReportConfiguration.java,198,RelationalOperatorReplacement,if (maxErrorTokenLength < 0) {,if (maxErrorTokenLength >= 0) {,30,
com/fasterxml/jackson/core/ErrorReportConfiguration.java,66,NullifyInputVariable,public static void overrideDefaultErrorReportConfiguration(final ErrorReportConfiguration errorReportConfiguration) {,public static void overrideDefaultErrorReportConfiguration(final ErrorReportConfiguration errorReportConfiguration) { errorReportConfiguration = null;,8,
com/fasterxml/jackson/core/JsonFactory.java,2049,RelationalOperatorReplacement,if (_maximumNonEscapedChar > 0) {,if (_maximumNonEscapedChar <= 0) {,410,
com/fasterxml/jackson/core/JsonFactory.java,2016,RelationalOperatorReplacement,if (_maximumNonEscapedChar > 0) {,if (_maximumNonEscapedChar <= 0) {,413,
com/fasterxml/jackson/core/JsonFactory.java,1349,RelationalOperatorReplacement,if ((_inputDecorator != null) || (strLen > 0x8000) || !canUseCharArrays()) {,if ((_inputDecorator != null) || (strLen <= 0x8000) || !canUseCharArrays()) {,417,
com/fasterxml/jackson/core/JsonFactoryBuilder.java,217,RelationalOperatorReplacement,if (ch > 0x7F) {,if (ch <= 0x7F) {,63,
com/fasterxml/jackson/core/JsonFactoryBuilder.java,195,RelationalOperatorReplacement,"_maximumNonEscapedChar = (maxNonEscaped <= 0) ? 0 : Math.max(127, maxNonEscaped);","_maximumNonEscapedChar = (maxNonEscaped > 0) ? 0 : Math.max(127, maxNonEscaped);",64,
com/fasterxml/jackson/core/JsonGenerator.java,2928,RelationalOperatorReplacement,if ((offset < 0) || (offset + length) > arrayLength) {,if ((offset < 0) || (offset + length) <= arrayLength) {,248,
com/fasterxml/jackson/core/JsonGenerator.java,2928,RelationalOperatorReplacement,if ((offset < 0) || (offset + length) > arrayLength) {,if ((offset >= 0) || (offset + length) > arrayLength) {,249,
com/fasterxml/jackson/core/JsonGenerator.java,1266,RelationalOperatorReplacement,"for (int i = offset, end = offset+length; i < end; ++i) {","for (int i = offset, end = offset+length; i >= end; ++i) {",268,
com/fasterxml/jackson/core/JsonGenerator.java,1239,RelationalOperatorReplacement,"for (int i = offset, end = offset+length; i < end; ++i) {","for (int i = offset, end = offset+length; i >= end; ++i) {",270,
com/fasterxml/jackson/core/JsonGenerator.java,1212,RelationalOperatorReplacement,"for (int i = offset, end = offset+length; i < end; ++i) {","for (int i = offset, end = offset+length; i >= end; ++i) {",272,
com/fasterxml/jackson/core/JsonGenerator.java,1185,RelationalOperatorReplacement,"for (int i = offset, end = offset+length; i < end; ++i) {","for (int i = offset, end = offset+length; i >= end; ++i) {",274,
com/fasterxml/jackson/core/JsonLocation.java,250,RelationalOperatorReplacement,if (_totalBytes >= 0) {,if (_totalBytes < 0) {,67,
com/fasterxml/jackson/core/JsonLocation.java,242,RelationalOperatorReplacement,if (_columnNr > 0) {,if (_columnNr <= 0) {,68,
com/fasterxml/jackson/core/JsonLocation.java,240,RelationalOperatorReplacement,"if (_lineNr > 0) { // yes, require 1-based in case of allegedly binary content","if (_lineNr <= 0) { // yes, require 1-based in case of allegedly binary content",69,
com/fasterxml/jackson/core/JsonLocation.java,231,RelationalOperatorReplacement,if (_columnNr >= 0) { // same here,if (_columnNr < 0) { // same here,70,
com/fasterxml/jackson/core/JsonLocation.java,225,RelationalOperatorReplacement,if (_lineNr >= 0) {,if (_lineNr < 0) {,71,
com/fasterxml/jackson/core/JsonParser.java,1876,RelationalOperatorReplacement,if (value < MIN_SHORT_I || value > MAX_SHORT_I) {,if (value < MIN_SHORT_I || value <= MAX_SHORT_I) {,252,
com/fasterxml/jackson/core/JsonParser.java,1876,RelationalOperatorReplacement,if (value < MIN_SHORT_I || value > MAX_SHORT_I) {,if (value >= MIN_SHORT_I || value > MAX_SHORT_I) {,253,
com/fasterxml/jackson/core/JsonParser.java,1846,RelationalOperatorReplacement,if (value < MIN_BYTE_I || value > MAX_BYTE_I) {,if (value < MIN_BYTE_I || value <= MAX_BYTE_I) {,254,
com/fasterxml/jackson/core/JsonParser.java,1846,RelationalOperatorReplacement,if (value < MIN_BYTE_I || value > MAX_BYTE_I) {,if (value >= MIN_BYTE_I || value > MAX_BYTE_I) {,255,
com/fasterxml/jackson/core/JsonPointer.java,794,RelationalOperatorReplacement,if (c == ESC && i < end) {,if (c == ESC && i >= end) {,204,
com/fasterxml/jackson/core/JsonPointer.java,788,RelationalOperatorReplacement,while (i < end) {,while (i >= end) {,207,
com/fasterxml/jackson/core/JsonPointer.java,784,RelationalOperatorReplacement,if (toCopy > 0) {,if (toCopy <= 0) {,208,
com/fasterxml/jackson/core/JsonPointer.java,741,RelationalOperatorReplacement,if (i < 0) { // end!,if (i >= 0) { // end!,210,
com/fasterxml/jackson/core/JsonPointer.java,735,RelationalOperatorReplacement,"if (c == ESC && i < end) { // possibly, quote","if (c == ESC && i >= end) { // possibly, quote",211,
com/fasterxml/jackson/core/JsonPointer.java,724,RelationalOperatorReplacement,while (i < end) {,while (i >= end) {,214,
com/fasterxml/jackson/core/JsonPointer.java,707,RelationalOperatorReplacement,if (l > Integer.MAX_VALUE) {,if (l <= Integer.MAX_VALUE) {,215,
com/fasterxml/jackson/core/JsonPointer.java,701,RelationalOperatorReplacement,if (c > '9' || c < '0') {,if (c > '9' || c >= '0') {,217,
com/fasterxml/jackson/core/JsonPointer.java,701,RelationalOperatorReplacement,if (c > '9' || c < '0') {,if (c <= '9' || c < '0') {,218,
com/fasterxml/jackson/core/JsonPointer.java,699,RelationalOperatorReplacement,for (int i = 1; i < len; ++i) {,for (int i = 1; i >= len; ++i) {,219,
com/fasterxml/jackson/core/JsonPointer.java,696,RelationalOperatorReplacement,if (c > '9') {,if (c <= '9') {,220,
com/fasterxml/jackson/core/JsonPointer.java,693,RelationalOperatorReplacement,if (c <= '0') {,if (c > '0') {,223,
com/fasterxml/jackson/core/JsonPointer.java,688,RelationalOperatorReplacement,if (len == 0 || len > 10) {,if (len == 0 || len <= 10) {,224,
com/fasterxml/jackson/core/JsonPointer.java,669,RelationalOperatorReplacement,for (; offset1 < end1; ) {,for (; offset1 >= end1; ) {,227,
